Date;Precipitation;MaxTemp;MinTemp;Insolation;Evaporation;AvgTemp;AvgHumidity;AvgWindSpeed
40140;0;28.7;21.4;3.8;1;24.22;84.5;2.533333
40141;0.6;29.6;22;2;1.4;24.52;86.75;2.266667
40142;0.2;34.4;22.8;6;1.2;28.18;76.75;2.066667
40143;0;30.9;23.1;6.2;2.5;25.84;77.75;2.2
40144;0;27.8;20.3;1.2;1.7;23.52;81.25;2.733333
40145;2.7;25.9;20.3;0.3;1.4;22.66;85;3.233333
40146;0.4;31.1;19.3;11.2;1.4;24.6;70.25;2
40147;1.8;26.4;21.6;0.1;2.3;23;81.75;1.633333
40148;1.8;27.8;19.3;8.7;1.2;22.9;74;3
40149;0;28.7;19.3;3.6;1.8;23.9;87.25;2.7
40150;15.1;27.6;19.5;8.6;0.8;21.74;74.25;3.833333
40151;0;22.9;15.6;11.6;2.3;18.1;62.5;2.666667
40152;0;28.7;12.7;12.1;2.6;21.68;66.5;2.233333
40153;1.8;26.7;19.9;1.4;2.6;22.6;81;3.066667
40154;0.3;22.7;19.6;0;1.6;20.64;80;2.333333
40155;0;21.3;18.1;0;1.9;19.78;77.25;2.9
40156;1.7;27;17.3;10.1;1.9;21.86;75.25;4
40157;0;30.7;19.7;6.2;2.6;24.24;77.75;2.366667
40158;5.8;24.1;22;0;2.2;22.44;95.25;1.833333
40159;56.3;23.2;17.9;0;0.8;19.94;86;3
40160;7.6;24.3;15.7;9.4;0.8;19.26;73.25;2.8
40161;0;29;14;12.2;2.4;21.28;64.75;2.933333
40162;0;29.5;16.9;12.3;2.9;23.16;74.5;2.566667
40163;0;29.5;20.9;7.4;2.6;23.94;76.25;3.366667
40164;0;27;20.1;11.7;2.3;22.92;74.25;5.533333
40165;0;30.3;19;12.5;2.8;24.16;71.75;4.133333
40166;0;34.5;20.1;12.5;3.3;26.1;65.25;1.766667
40167;0;34.1;20.9;4.8;4;26.6;72.5;2.3
40168;0.6;28.4;23.2;1.7;3;25.18;84.5;1.733333
40169;1.1;32;22.8;3.5;2.1;25.94;77.5;2.466667
40170;0;33.2;23.2;7.7;1.7;27.08;75.5;1.966667
40171;3.1;28.7;23.2;1.7;2.7;25.74;90.75;1.466667
40172;45.7;31.9;22.1;7.6;0.6;26.56;82;1.566667
40173;0;32.9;22.8;5.4;1.9;27.14;78.25;1.3
40174;1.9;31;23.7;8.6;2;26.74;80.75;1.4
40175;0;33.7;22.7;11.9;2.2;27.12;75;1.566667
40176;0;34.7;22.5;10.7;3.6;27.72;72.5;1.266667
40177;0;33.3;24.2;6.5;1.9;27.04;75;3.233333
40178;1;28.2;19.1;10.2;2.6;23.1;63.5;3.466667
40179;0;30.8;19;12.4;3;24.64;69.25;1.9
40180;0;31.3;20.4;11.9;2.6;25.48;69.75;2.1
40181;0;33.2;21.3;12.4;2.6;26.66;72.75;2.833333
40182;3.4;26.8;23;0;2.5;24.84;92.5;1
40183;20.5;31.8;22.8;4.4;0.5;27.12;81.25;1.466667
40184;0.7;29.6;23.1;0.6;1.5;25.14;87.75;2.033333
40185;32.5;24.4;20.4;0;1.5;21.94;72.5;2.866667
40186;0;30.3;19.2;9.6;2;24.38;73.25;1.933333
40187;0;31;22.7;2;2.3;26.3;80.75;2.266667
40188;0;31.2;23.3;4;1.3;25.66;86.5;1.333333
40189;1.6;31.3;23.7;9.7;1.3;26.36;79.25;1.9
40190;0;32.4;22.7;6.5;1.3;26.78;76.25;1.933333
40191;1.2;25.6;21.4;1.7;1.4;22.64;76.5;2.133333
40192;0;30.6;17.3;10.6;1.7;23.58;63.25;1.266667
40193;0;29.6;17.8;12.5;3.2;23.56;59.5;2.766667
40194;0;31;20.3;4.5;4.8;24.26;79.5;2.8
40195;26.8;31.8;20.9;5.9;1.8;26.02;76.25;1.4
40196;0;33.8;21.4;9.8;2;27.04;72.75;2.533333
40197;8.8;26.7;22.6;0;3;24.46;93.5;2
40198;38.1;27.9;21.9;4.7;0.8;23.68;73;1.766667
40199;0;27.8;18.8;5.8;1.9;22.8;78.25;1.933333
40200;2;28.4;20;8.6;2;23.76;73.75;2.766667
40201;0;28.7;19.3;7.7;2.2;24.3;73.25;3.233333
40202;0;30.3;21.8;10.2;2.6;25.26;77.5;3.4
40203;0;31.8;21.7;11;2.9;26.04;74.75;2.466667
40204;0;30.8;22.8;6.7;2.6;25.96;80;1.633333
40205;4.2;29.2;22.5;4;1.9;25.22;84;2.1
40206;20.7;28.4;21.7;3.8;1.1;24.78;90.25;0.966667
40207;2.4;32.2;20.7;8.3;1.2;25.8;84;1.1
40208;3.7;34.9;21.8;9.7;2.3;27.22;76.75;1.4
40209;7.1;35;22.3;7.8;2.7;27.8;76.25;1.8
40210;0;35.3;23.6;6.6;2.6;28.08;74.75;2.566667
40211;0.2;36.7;24.5;10.2;3.2;30.04;67.5;1.633333
40212;0;38.9;27.9;11.6;5.2;33.46;49.25;2.933333
40213;0;37.8;25.4;8.7;8.7;29.3;72.5;1.9
40214;11.6;36.1;25.3;7.2;4;28.48;78;1.866667
40215;0.6;35.9;24.3;7.2;2.5;29.16;71.5;1.333333
40216;0;39;26.1;11;3.5;31.26;64.25;1.666667
40217;32.8;30.1;23.5;0;4.2;25.5;89.25;2.366667
40218;0;32;22.4;10.4;1.2;25.92;70;2.466667
40219;0;34;21.3;11.6;3.1;27.24;73.75;2.033333
40220;0;34.3;23.6;9.2;2.5;27.82;77.5;1.7
40221;0;34.7;23.7;9.8;2.5;28.54;70.25;1.733333
40222;0;34.5;23.7;10;3.6;28.02;62.5;1.8
40223;0.2;30.2;24.1;2.9;2.4;26.74;82.75;1.733333
40224;23.2;26.6;22.9;0;1.6;23.98;93.5;1
40225;11.3;25.8;19.9;0.5;0.4;22.14;89.25;3.233333
40226;5.4;27.6;19.9;6.1;0.8;22.88;75;2.966667
40227;0;30.3;19.2;11.8;2.5;24.42;72.75;2.7
40228;0;33.8;19.9;12;2.8;26.28;72;2.133333
40229;0;34.7;22.6;6.7;2.5;28.22;72.75;1.433333
40230;0;35.7;24;7.9;2.9;27.64;79;1.9
40231;16.9;33.6;24;3.9;2.3;28.34;80.25;1.366667
40232;2.6;31.2;24.1;4.7;1.9;26.74;83.5;2.3
40233;6.1;25.5;20;5.6;1.8;22.12;65;3.3
40234;0;25.4;16.5;10.8;3.1;20.4;64.25;3
40235;0;27.2;13.8;11.1;2;20.32;70.75;2.033333
40236;0;30.9;17;7.2;2.2;23.4;72.75;2.5
40237;0;29.7;19.1;10.8;2.4;23.94;70;2.966667
40238;0;30.4;19.3;10.6;2.8;24.36;70.25;2.766667
40239;0;32;19.2;10.5;2.6;24.92;64;2.533333
40240;0;31.8;19.2;10.5;3;24.94;67.25;2.233333
40241;0;31;22.3;4;3.1;25.72;75;2.233333
40242;0;32.1;20.4;7.4;2.5;25;72.75;2
40243;0.2;30.8;19.1;7.4;2.3;23.66;76.5;1.9
40244;0.4;27.6;19.2;0.7;2;22.94;90;2.166667
40245;1.8;28.2;21;2.1;0.8;23.78;88.25;1.9
40246;3.9;25.8;21.8;2.1;1.8;23.92;91.75;2.8
40247;17.4;29.9;21.6;5.8;0.5;25;83.5;1.633333
40248;2.9;30.1;21.8;5.3;1.4;24.72;85.5;1.466667
40249;1.2;28.6;20.4;8.7;1.6;23.4;74;1.9
40250;0;27.7;19.3;0;2.3;23.52;81.75;0.366667
40251;1.8;28.3;19.9;6.2;1.5;24.28;74.5;1.366667
40252;0;27.9;19.6;4.6;2.4;21.86;70.25;1.233333
40253;0;28;13.3;10.2;2.1;20;64.75;1.866667
40254;0;30.8;15.8;10.5;3.2;23.08;69.5;1.9
40255;0;33;18.6;9.9;2.9;24.94;64.75;1.1
40256;0;33.4;19;5.9;3.7;26.02;72.25;1.6
40257;36.8;30.8;20;6.4;2.8;24.36;84.5;1.566667
40258;0;31;20.4;5.8;1.4;24.34;81.25;1.066667
40259;12.1;25.6;19.8;0.8;2.1;23.1;80.5;3.7
40260;0;25.6;20.2;0;1.6;23;87;1.8
40261;0.1;25.6;20.6;0.5;1.1;22.44;88.25;3.133333
40262;1.2;25.3;20.2;0.3;1.6;22.68;81.75;2.233333
40263;0.4;28.9;21.4;5.7;1.2;24.74;83.5;3.866667
40264;0.1;28.7;22.3;6.5;1.4;24.4;84.5;2.966667
40265;3;24.6;21.2;0.1;1.4;22.52;93;2.766667
40266;19.7;26.1;20;1.3;0.5;22.22;85.5;1
40267;0.1;29;18.3;5.9;0.9;22.32;83;0.666667
40268;0;29.4;17;9.4;1.5;22.2;78.5;1.6
40269;0;32.8;18;9.9;1.8;25.24;75.25;0.966667
40270;0;34.2;20.2;9.3;2.6;25.52;72.25;1.7
40271;0;30.6;20;6.1;3;24.36;76.75;2.5
40272;2.4;23.3;18.8;0;2.4;20.14;85.25;2.133333
40273;1.6;24.3;16.3;6.6;1.1;19.28;70;3.066667
40274;0.8;24.2;13;7.7;1.8;17.94;75.5;2.466667
40275;0.8;24;13;3.7;1.7;17.96;80.75;0.833333
40276;1.3;25.2;13.8;4.7;1.3;18.56;75.25;2.033333
