33.8,4.2,88.75,0.87,27.35
42,1,89,0.87,27
0.3,5.1,89,0.57,28.4
25.1,5.4,90.25,0.6,27
14.2,2.8,90.5,0.6,27.45
10.5,8.6,84.5,1.83,28
2.3,6.1,85.75,1.57,28.15
33.2,7.3,84.5,0.6,28.4
17.7,0.4,83.75,1.43,27.05
0,3,90.25,0,28.3
86.3,6.2,87.5,0.63,27.75
33.7,3.1,92,0.23,27.05
6.7,0.6,89.25,0.4,27.15
0.3,4.3,88.75,1.37,27.3
28.5,5.3,91.5,0.7,27.3
32.6,3.5,93.25,0,27.1
33.8,4.4,88.25,0.83,27.35
30.9,1.5,93,0.8,27.15
26.2,0,93.75,0.03,25.5
17,5.8,88.5,0.47,28.15
10.1,4.3,89.5,0.97,27
6.1,4.5,93,0.9,27.55
12.1,7.5,87.75,0.97,27.85
21.2,6.9,87.5,0.77,27.75
7.6,2.3,92.75,0,26.6
25.4,3.7,83,1.8,27.05
0,5.7,89.5,0.87,27.35
21.6,5.6,87.25,1.03,27.6
4.1,5.1,89.75,1.17,28.05
11,5.2,88.5,1.23,27.7
3,6.8,86.5,1.3,28.15
8.1,3,88.25,0.77,28.2
28,6,89.25,0.93,27.85
36.6,5.3,90.5,0.77,27.8
31.1,5.1,91,1.47,27.6
1.4,5.4,88,1.73,27.15
20.8,7.7,84,1.13,27.45
16.2,7.7,83.5,1.23,27.45
2,4.4,83.75,0.57,27.75
0,7.5,84,1.23,28.2
0.3,5.9,89.25,0.53,27.9
17.8,5.2,90.75,1.03,27.95
38.3,2.2,93.75,0.47,26.9
55.4,2.6,88.5,0.97,27.45
2,0.6,90.5,0.27,27.5
0.5,7.8,84.25,1.73,27.8
11.8,6,88.5,1,27.15
13.2,7.3,86.5,1.07,28.3
10.7,5.2,90.25,0.53,28.15
3.2,1.1,89.75,0.67,26.1
3,3.2,87,0.37,26.95
5.2,0.9,93,0.27,26.85
16.6,8.3,85,0.87,27.7
7.4,5.8,89.75,0.53,27.75
17.6,7.8,79,0.53,28.4
8.1,7.7,84.75,1.8,28.1
5.7,7.1,83.5,0.83,28.25
13.9,3.8,91.5,0.7,27.5
20.4,3,92.75,0.47,26.8
12.1,5.4,89.5,1.3,27.6
44.8,5.3,92.75,0.37,27.2
38.3,5,87,1.27,27.85
22.4,7.6,87,1.1,27.55
14.3,6.7,85.5,1.87,27.9
0.6,8,81.75,1.17,27.95
28.4,5.6,89.5,0.6,28.25
62.5,3.6,91.75,0.1,27.85
10.7,0.5,95.25,0,26.65
20.5,3.2,87,0.9,27.6
54.7,7.3,85.5,1.5,27.6
1.1,8.2,84.75,1.13,28.2
17.4,0,89.5,0.23,26.45
6,0.1,87.25,0.83,26.7
3.4,8.9,83.75,1.27,27.95
0,8.2,83.25,1.33,27.95
6.6,7.1,79.75,1.47,28.7
0,4.1,89,0.77,27.6
23.5,3.5,88.5,0.53,26.7
17,1.6,89.25,0.6,27
7.6,2.5,91.75,0,27.45
23,2.2,92,0.53,27.1
12.5,5.2,89,0,27.5
13.5,2.9,90.25,0.87,27.25
15.4,1.1,90,0.97,26.2
9.2,6.2,85.75,0.7,27.3
30.6,6.6,86.75,0.5,28.75
9.2,4.6,88.25,1.1,27.6
4.6,7.2,85.5,1.1,27.95
0,9.4,82,1.3,28.3
11.8,7,86.75,0.93,28.05
2.4,5.9,88.75,1.13,28.15
7.2,8.7,82.75,0.87,28.05
28.2,2,93,0.03,26.55
29.5,6.5,87,0.1,27.95
32,1.8,91.5,0.17,26.25
5.5,6.6,86.5,0.9,27.5
2.2,8.7,81.25,1.13,27.6
5.6,9.2,83,0.63,28.05
2.8,6.5,85.75,0.93,27.95
2.4,1.6,91.5,0.9,27
0,7.5,83.75,1.37,28.15
3.8,8.3,79,1.53,27.85
0,8.5,78,0.87,28.4
0,0.4,85.5,0.63,27.1
0,4.2,85.25,0.83,28.55
22,7.8,87.75,0.67,28.4
0,7.6,85.5,0.83,28.15
8.2,8.3,79.25,1.6,27.8
0.6,7.8,81.25,1.07,27.85
1.1,8.1,83.25,1.43,28.85
7.4,8.7,81,1.6,28.25
27.8,7.2,85.75,1.13,27.45
0.6,6.8,83.75,1.53,27.65
23.3,5.9,83.75,0.27,27.75
0,8.6,81,0.67,28.7
0,7.8,79.75,1.13,28.8
0,8.8,79,1.03,29.25
48,0.9,88.75,0.43,27.5
10.4,2.8,88.25,0.27,26.45
0,7.1,82.25,0.67,27.6
6.2,7.4,85,1.57,27.55
4.9,6.6,88.5,0.97,27.35
0,7.3,83.25,1.2,27.5
6.9,8.5,84.25,0.7,28.05
9.5,10,81.75,1.43,27.6
4.2,8.5,83,1.4,28.05
6.2,5.8,88.5,1.6,27.25
2,8,80.25,1.2,28.15
30.2,4,89.25,1.1,27.35
20.5,7.1,84.25,1.43,27.05
45.2,7.8,86,1.47,27.15
0.6,7.8,85.75,0.83,27.95
8.4,7.8,83.5,1.1,27.9
10.4,4.7,88.75,0.47,27.85
47.2,9.7,85,1.2,27.9
7,8,84,1.27,27.2
0.2,9,81.75,0.87,27.65
0,8.9,77,2.1,28.1
0,10,79.75,2.43,28.15
11.8,6.5,87.5,0.77,27.7
5,6.2,84.75,0.7,27.5
7.2,5.4,84.5,0.9,28
2.8,7.2,84.5,1.23,27.7
3,9.2,83.75,1.23,27.8
7.8,9.6,86.5,0.5,27.75
33.8,8.9,83.5,1.37,27.1
8.2,7.3,85.5,1.27,27.35
32.9,6,90,1.87,27.2
29.4,9.2,78.75,1.9,26.9
0,9.5,79,1.2,27.5
0,9.5,74.75,1.47,28
5,8.4,84.5,0.5,27.85
2,9.5,76.5,1.2,27.5
0,8.6,78,1.47,27.45
0,7.9,81.5,0.97,27.2
1.8,7.9,81.75,1.17,27.55
0.3,9,80.75,1.37,27.1
16.2,9.4,80.25,1.6,27.35
0,5.4,84.5,1.13,28.25
0,9.7,75.25,0.9,28.1
0,9.2,75.25,1.33,27.5
0,6.9,83,0.57,28.5
2.4,8.8,80.5,0.7,28.4
14.3,7.9,80.25,0.87,28.1
4,8.9,78.5,0.77,27.95
0,9,82.5,0.53,28.55
13.8,8.9,82.25,0.97,28.05
1.8,9.2,79,1.63,28.3
0,7.2,84.5,1.2,27.75
1,9,82.25,1.63,27.45
9.6,9.2,76.5,1.87,27.25
0,6.1,86,1.1,27.7
8.8,9.4,78,1.73,27.2
0,8.8,79,1.7,28.15
0,9,80.75,1.37,28.35
14.8,9.3,79.75,1.13,28.05
0,9,80.75,0.83,28.3
0,9.1,78.75,1.53,28.1
1.4,9.4,77.75,1.2,27.6
0,9.5,79.75,1.23,28
0,9.5,80.25,1.3,27.6
0,9.6,72.5,1.17,28.5
0,8.8,73.75,1.1,28.1
0,8.4,76,1.97,27.9
0,9.7,75.75,1.47,28.1
0,8.2,79.75,0.63,27.9
0.1,6.6,82,0.63,27.8
6,8.3,81.5,1.67,27.3
0,9.4,76,2.43,27.6
0,9.4,70.5,2.57,27.85
0,7.4,78.25,1.13,27.5
7.4,8,81.75,1.1,28.25
1.6,5.1,84.75,1.1,27.85
0.2,7.6,83,1.1,27.9
27.9,8.3,81,1.3,27.45
13.4,9.6,74.25,2.2,27.45
0,9.6,75.5,1.67,27.9
0,9.6,75,2,27.9
0,7.1,82,1.07,27.65
21.2,7.4,75.75,1.87,27.5
0,9.5,80.5,1.67,27.65
20,6.9,81.25,1.03,28
0,9.3,82.25,0.9,28.05
4.2,8.1,79.75,0.9,28.05
0.1,9.1,77.5,1.27,28
0,8.3,78.25,1.9,28.1
0,9.4,77.5,1.4,27.75
0.8,9.1,80.5,1.1,28
3.6,8.4,80,1.1,28.2
0,7.1,77.5,1.53,27.95
33.6,8.5,75.25,0.93,27.55
0,6.3,85,1.13,27.85
26.5,7.7,79.75,0.27,27.45
6.2,8.9,77,1.87,27.8
0,9,78,1.27,28
0.4,8.7,78.25,0.77,27.75
0.2,7.2,80.75,1.73,28
13.1,7.1,76.25,1.87,27.2
0,8.8,71,1.9,27.4
0,9.4,79.75,1.43,27.85
5.4,8.8,81.5,1.33,27.75
29,8.4,75.5,2.23,27.15
1.7,8.2,80.25,0.87,27
3.9,8.1,77.25,2.23,27.6
0,9.1,79.25,1.07,27.25
4.5,9.2,82.25,1.03,27.95
0.8,9.8,76.5,1.8,28.45
0,10,80.25,0.93,28.3
0.2,9.3,79.5,1.77,28.2
0,9.3,76.5,2.17,28.7
3.2,8.3,82.25,0.9,28.05
4.2,8.3,84.25,1.03,28
1.4,6.4,84.75,1.03,28.4
0,8.4,80,1.33,28.15
0,8.6,78.25,1.27,27.85
0,6.5,81.75,1.93,27.35
0,6.5,84,1.13,27.65
36,8.6,75.75,1.47,27.8
0,8.5,84,1.1,27.85
5.6,9.4,77.75,2.4,28.05
0,8.7,75.5,1.77,27.95
0,9.1,72.75,1.77,28.1
0,9.8,80.25,1.6,28.3
1.2,8.5,77.5,1.17,27.5
0,8.7,78.25,1.47,28.45
0.8,5.8,84.5,1.6,28.1
15,8.1,82.75,1.17,27.15
8.6,9.7,78.75,1.13,27.25
0,6.5,79,1.17,28.15
0,7.4,76.5,2.07,27.25
0,10.2,73.5,1.67,27.65
0,9.6,74,1.3,27.35
0,9,73,1.73,27.85
0,10.4,72.75,2.23,28.05
0.7,9.9,67.75,1.83,27.85
0,10.1,68.75,2.4,28.2
0,9.4,73.5,0.73,27.8
0,7.8,74.75,1.63,28.3
0,6.4,74.25,1.53,28.4
0,9.5,65.5,2.97,28.35
0,10,71.75,1.8,28.7
0,9.1,74,1.8,28.75
0,5.5,70,1.9,28.85
0,7,70.25,2.37,28.65
0,10.2,71.75,2.1,29
0,9.5,75.75,1.7,28.7
